Organization Name,Address,City,State,Zip,Longitude,Latitude
Bass-Perkins Bass Elementary School,1140 W 66th St,Chicago,IL,60621,-87.653364,41.774191
Bond-Carrie Jacobs Bond Elementary School,7050 S May St,Chicago,IL,60621,-87.652934,41.765448
Claremont Academy Elementary School,2300 W 64th St,Chicago,IL,60636,-87.681149,41.777447
Davis-Miles Davis Magnet Academy,6740 S Paulina St,Chicago,IL,60636,-87.666446,41.771373
Earle-Charles W. Earle STEM Elementary School,2024 W 62nd St,Chicago,IL,60636,-87.674894,41.781183
Excel Academy of Englewood,7141 S Morgan St,Chicago,IL,60621,-87.649189,41.764293
Harper-W.R. Harper High School,6520 S Wood St,Chicago,IL,60636,-87.669008,41.774860
Harvard School of Excellence Elementary School,7525 S Harvard Ave,Chicago,IL,60620,-87.632819,41.757617
Henderson-Charles R. Henderson Elementary School,5650 S Wolcott Ave,Chicago,IL,60636,-87.671798,41.790916
Holmes-Oliver Wendell Holmes Elementary School,955 W Garfield Blvd,Chicago,IL,60621,-87.649240,41.793874
Hope-John Hope College Preparatory High School,5515 S Lowe Ave,Chicago,IL,60621,-87.641461,41.793631
Johnson College Prep High School,6350 S Stewart Ave,Chicago,IL,60621,-87.635051,41.778819
Kershaw-Joshua D. Kershaw Magnet Elementary School,6450 S Lowe Ave,Chicago,IL,60621,-87.640829,41.777044
King-Dr. Martin Luther King Jr. Academy of Social Justice Elementary School,644 W 71st St,Chicago,IL,60621,-87.640979,41.765304
KIPP Bloom College Prep Middle School,5515 S Lowe Ave,Chicago,IL,60621,-87.641461,41.793631
Langford-Anna R. Langford Community Academy Elementary School,6010 S Throop St,Chicago,IL,60636,-87.657099,41.756709
Lindblom-Robert Lindblom Math & Science Academy High School,6130 S Wolcott Ave,Chicago,IL,60636,-87.671576,41.782423
Mays-Benjamin E. Mays Elementary Academy,6656 S Normal Blvd,Chicago,IL,60621,-87.636882,41.773106
McKay Elementary School,6938 S Washtenaw Ave,Chicago,IL,60629,-87.690685,41.767485
Montessori School of Englewood,6936 S Hermitage Ave,Chicago,IL,60636,-87.667567,41.767798
Nicholson-Lillian R. Nicholson STEM Academy Elementary School,6006 S Peoria St,Chicago,IL,60621,-87.647340,41.784972
O'Toole-Luke O'Toole Elementary School,6550 S Seeley Ave,Chicago,IL,60636,-87.675038,41.774764
Parker-Francis W. Parker Elementary Community Academy,6800 S Stewart Ave,Chicago,IL,60621,-87.634791,41.768900
Providence Englewood Charter School,6515 S Ashland Ave,Chicago,IL,60636,-87.664082,41.775515
Randolph-A. Phillip Randolph Elementary School,7316 S Hoyne Ave,Chicago,IL,60636,-87.675899,41.760830
Robeson-Paul Robeson High School,6835 S Normal Blvd,Chicago,IL,60621,-87.637228,41.770048
Sherwood-Jesse Sherwood Elementary School,245 W 57th St,Chicago,IL,60621,-87.632042,41.790863
Stagg School of Excellence Elementary School,7424 S Morgan St,Chicago,IL,60621,-87.649136,41.759314
TEAM Englewood Community Academy High School,6201 S Stewart Ave,Chicago,IL,60621,-87.635045,41.781471
Urban Prep Englewood High School,6201 S Stewart Ave,Chicago,IL,60621,-87.635045,41.781471
Wentworth-Daniel S. Wentworth Elementary School,1340 W 71st St,Chicago,IL,60636,-87.657933,41.765038
,,,,,,
,,,,,,
,,,,,,
,,,,,,
